,outcome,time,L_f1,W_f1,L_f2,W_f2,fights_f2,height_y,kd,ctrl,sigster_throw,sigster_land,td_land,head_throw,body_throw,leg_throw,clinch_throw,weightclass_hw,weightclass_lhw,weightclass_lw,weightclass_mw,weightclass_wbw,weightclass_ww,method_dec_spl,method_dec_una,method_ko_tko,stance_x_Orthodox,stance_x_Southpaw,stance_x_Switch
5238,1.0,300,0.0,3.0,1.0,2.0,3.0,63.0,0.28205128205128205,-75.6083916083916,4.202797202797203,3.7552447552447568,-1.3916083916083917,2.773892773892774,0.7575757575757573,0.6713286713286714,-0.7412587412587412,0,0,0,0,0,0,1,0,0,1,0,0
5239,0.0,300,1.0,1.0,1.0,2.0,3.0,63.0,0.0,-20.454545454545453,-6.181818181818182,-12.29090909090909,-0.9454545454545453,-4.036363636363637,-1.7090909090909092,-0.43636363636363634,-1.6181818181818182,0,0,0,0,0,0,1,0,0,1,0,0
5240,1.0,300,3.0,5.0,2.0,0.0,2.0,74.0,0.030632411067193693,-10.682806324110672,-0.8448616600790544,5.0187747035573125,0.525691699604743,1.9298418972332012,-0.9347826086956523,-1.8399209486166006,-2.5286561264822134,0,1,0,0,0,0,0,1,0,1,0,0
5241,1.0,300,3.0,5.0,2.0,0.0,2.0,74.0,-0.1093969144460028,25.537868162692845,-8.009817671809259,-10.542075736325383,1.4509116409537168,-2.1500701262272095,-2.0315568022440393,-3.8281907433380082,-1.9985974754558204,0,1,0,0,0,0,0,1,0,1,0,0
5242,1.0,288,3.0,5.0,2.0,0.0,2.0,75.0,0.03374689826302729,-32.2454094292804,-0.9736972704714653,3.2171215880893307,0.016129032258064502,-0.285856079404466,0.018610421836228408,-0.7064516129032257,-0.48287841191067016,0,1,0,0,0,0,0,0,1,1,0,0
5243,1.0,300,0.0,2.0,2.0,0.0,2.0,75.0,-0.0037422037422037424,-71.6939708939709,10.636590436590435,35.95426195426195,-1.3783783783783785,4.5833679833679835,1.8856548856548856,4.167567567567568,0.7002079002079,0,1,0,0,0,0,0,1,0,1,0,0
5244,1.0,300,3.0,6.0,1.0,0.0,1.0,69.0,-0.03208556149732621,58.19786096256684,0.18983957219251302,2.1096256684491976,0.25668449197860954,-0.47326203208556183,0.20588235294117663,0.45721925133689845,0.1657754010695187,0,0,0,1,0,0,1,0,0,0,1,0
5246,1.0,206,1.0,2.0,1.0,0.0,1.0,76.0,0.045454545454545456,12.796969696969697,-5.851515151515153,-7.978787878787877,-0.40909090909090906,-4.451515151515151,-2.036363636363637,0.6363636363636362,-2.418181818181818,1,0,0,0,0,0,0,0,1,1,0,0
5247,1.0,20,1.0,2.0,2.0,1.0,3.0,71.0,0.041666666666666664,-29.625,-3.520833333333334,-11.1875,-0.7916666666666667,-2.416666666666667,-0.6875,-0.41666666666666674,-2.270833333333333,0,1,0,0,0,0,0,0,1,1,0,0
5248,1.0,77,0.0,9.0,2.0,1.0,3.0,71.0,0.14893617021276595,-19.46542553191489,0.7140957446808507,-0.34707446808510767,-0.5372340425531914,0.625,0.0731382978723405,0.015957446808510634,-2.18218085106383,0,1,0,0,0,0,0,0,1,1,0,0
5249,0.0,300,1.0,0.0,2.0,1.0,3.0,71.0,0.0,-50.125,-3.2683823529411757,-4.6286764705882355,-1.2794117647058822,-1.9044117647058822,-0.31985294117647056,-1.0441176470588234,-1.9669117647058822,0,1,0,0,0,0,0,1,0,1,0,0
5253,0.0,189,3.0,2.0,2.0,3.0,5.0,75.0,0.10317460317460317,-9.531746031746032,9.753968253968253,5.484126984126984,-1.7936507936507937,4.087301587301587,4.476190476190476,1.1904761904761905,0.4365079365079365,0,1,0,0,0,0,0,0,0,0,1,0
5254,1.0,300,0.0,9.0,2.0,3.0,5.0,75.0,0.037825059101654845,45.770685579196225,3.8877068557919614,8.89598108747045,-0.009456264775413725,1.9444444444444446,1.3439716312056738,0.5992907801418439,-0.022458628841607542,0,1,0,0,0,0,0,1,0,1,0,0
5255,1.0,300,2.0,2.0,2.0,3.0,5.0,75.0,0.004273504273504286,-17.5042735042735,0.6880341880341874,1.1324786324786338,-1.9914529914529915,-0.5940170940170937,1.7564102564102564,-0.47435897435897445,1.2606837606837606,1,0,0,0,0,0,0,0,0,0,1,0
5256,0.0,14,1.0,0.0,2.0,3.0,5.0,75.0,-0.1111111111111111,-33.388888888888886,-0.08888888888888857,14.455555555555556,-1.3222222222222224,-3.1555555555555554,2.3333333333333335,0.7333333333333332,-0.07777777777777772,0,1,0,0,0,0,0,0,1,1,0,0
5258,1.0,300,4.0,4.0,1.0,2.0,3.0,78.0,-0.07792207792207792,-2.5844155844155807,-5.006493506493506,-0.7012987012987004,0.29870129870129875,-5.733766233766233,-1.006493506493507,1.7337662337662336,3.012987012987013,0,1,0,0,0,0,0,0,0,1,0,0
5259,0.0,133,3.0,1.0,1.0,2.0,3.0,78.0,0.21428571428571427,-21.78571428571428,0.2857142857142847,19.428571428571427,0.07142857142857145,3.3571428571428577,-2.3571428571428577,-0.7142857142857144,-0.6428571428571428,0,1,0,0,0,0,0,0,1,0,1,0
