fighter,W,L,fights
Johnny Case,2,3,5
Johnny Eduardo,3,2,5
Johnny Munoz,2,1,3
Johnny Walker,3,4,7
Johny Hendricks,1,4,5
Jon Delos Reyes,3,1,4
Jon Fitch,0,1,1
Jon Jones,0,1,1
Jon Olav Einemo,2,0,2
Jon Tuck,3,3,6
Jonathan Brookins,1,0,1
Jonathan Goulet,1,0,1
Jonathan Martinez,2,7,9
Jonathan Meunier,1,1,2
Jonathan Pearce,1,2,3
Jonathan Wilson,1,1,2
Jonavin Webb,1,0,1
Jonny Parsons,0,1,1
Jordan Espinosa,1,1,2
Jordan Griffin,3,0,3
Jordan Johnson,0,2,2
Jordan Leavitt,3,1,4
Jordan Mein,1,2,3
Jordan Rinaldi,2,2,4
Jordan Williams,2,0,2
Jordan Wright,1,1,2
Jorge Lopez,2,0,2
Jorge Masvidal,5,7,12
Jorge Rivera,1,1,2
Jorge Santiago,3,0,3
Jorge de Oliveira,1,0,1
Jose Aldo,1,1,2
Jose Johnson,1,1,2
Jose Maria,1,0,1
Jose Quinonez,3,1,4
Jose Torres,1,1,2
Joselyne Edwards,3,1,4
Joseph Benavidez,0,1,1
Joseph Gigliotti,1,0,1
Joseph Holmes,1,0,1
Joseph Morales,1,0,1
Joseph Sandoval,1,0,1
Josh Barnett,0,2,2
Josh Clopton,2,0,2
Josh Copeland,2,0,2
Josh Culibao,2,1,3
Josh Emmett,0,4,4
Josh Ferguson,2,0,2
Josh Fremd,2,1,3
Josh Grispi,2,0,2
Josh Koscheck,2,1,3
Josh Neer,2,1,3
Josh Parisian,1,0,1
Josh Samman,1,1,2
Josh Sampo,3,0,3
Josh Shockley,2,0,2
Josh Stansbury,0,1,1
Josh Thomson,1,1,2
Joshua Burkman,3,0,3
Joshua Van,0,1,1
Joshua Weems,1,0,1
Josiane Nunes,0,1,1
Journey Newson,2,0,2
Juan Adams,2,1,3
Juan Espino,1,0,1
Juan Manuel Puig,1,0,1
Juancamilo Ronderos,2,0,2
Julia Avila,1,0,1
Julian Erosa,4,2,6
Julian Marquez,1,2,3
Juliana Lima,3,0,3
Juliana Miller,0,1,1
Julianna Pena,2,2,4
